Date,USDPEN,Outright 3M,"ATM VOL MID, 3M",USSOC 3M,Tasa Efectiva 3M,Tasa Implicita 3M
2015-01-06,2.9895,3.046,0.064225,0.0012,0.0012005401080077416,-0.07104278906326145
2015-01-07,2.9905,3.0537,0.06425,0.00125,0.001250586059579506,-0.07909987069105562
2015-01-08,2.9825,3.0595,0.065,0.00124,0.0012405767191732142,-0.09581266211181294
2015-01-09,2.9875,3.058,0.067675,0.00126,0.0012605954750335435,-0.08792856069584987
2015-01-12,2.9815,3.058,0.06895,0.0012900000000000001,0.0012906241716790223,-0.0952064833129832
2015-01-13,2.9885,3.0605,0.0682,0.00128,0.0012806145310828576,-0.08966903961767636
2015-01-14,2.9965,3.1025,0.06695000000000001,0.00131,0.0013106436780174757,-0.12867775842689788
2015-01-15,3.0028,3.103,0.066875,0.0012900000000000001,0.0012906241716790223,-0.1219107183302841
2015-01-16,3.0143,3.0935,0.068725,0.0012900000000000001,0.0012906241716790223,-0.09737873208015346
2015-01-19,3.011,3.0975,0.06860000000000001,0.00123,0.0012305674538126699,-0.10601164458829004
2015-01-20,3.0105,3.097,0.068675,0.00124,0.0012405767191732142,-0.10601929287188383
2015-01-21,3.0075,3.1102,0.069075,0.00123,0.0012305674538126699,-0.12460638216973652
2015-01-22,3.006,3.106,0.067525,0.00123,0.0012305674538126699,-0.1216164386012466
2015-01-23,3.019,3.123,0.06935,0.00122,0.0012205582634989831,-0.1256319624059613
2015-01-26,3.0255,3.1215,0.0693,0.00124,0.0012405767191732142,-0.11636336384303159
2015-01-27,3.0235,3.1085,0.06965,0.00123,0.0012305674538126699,-0.10387105547232822
2015-01-28,3.0333,3.124,0.0678,0.00122,0.0012205582634989831,-0.11008788719438545
2015-01-29,3.0435,3.124,0.067825,0.00122,0.0012205582634989831,-0.09805743680515566
2015-01-30,3.059,3.124,0.06974999999999999,0.0011899999999999999,0.0011905311428306309,-0.07957047621572044
2015-02-02,3.063,3.1267,0.06955,0.00123,0.0012305674538126699,-0.07790167575862772
2015-02-03,3.0555,3.131,0.06945,0.00121,0.0012105491482310438,-0.09192378887079888
2015-02-04,3.0605,3.1285,0.067275,0.00122,0.0012205582634989831,-0.08303099396220026
2015-02-05,3.0588,3.1355,0.068875,0.00123,0.0012305674538126699,-0.0932006383661188
2015-02-06,3.069,3.1355,0.069275,0.00124,0.0012405767191732142,-0.08103541480883814
2015-02-09,3.0665,3.137,0.069325,0.00124,0.0012405767191732142,-0.08577678960663815
2015-02-10,3.0845,3.136,0.069325,0.00122,0.0012205582634989831,-0.0629459527974876
2015-02-11,3.0838,3.1395,0.0705,0.00123,0.0012305674538126699,-0.06795481558653271
2015-02-12,3.069,3.14,0.067275,0.00125,0.001250586059579506,-0.0862829167792758
2015-02-13,3.0815,3.138,0.069475,0.00126,0.0012605954750335435,-0.06892630681919909
2015-02-16,3.0855,3.141,0.0698,0.00126,0.0012605954750335435,-0.06765299023409199
2015-02-17,3.0835,3.142,0.0693,0.00125,0.001250586059579506,-0.07126059684490971
2015-02-18,3.086,3.151,0.06985000000000001,0.0012950000000000001,0.0012956290201200371,-0.07880325540815014
2015-02-19,3.0855,3.1595,0.067325,0.00124,0.0012405767191732142,-0.08931704956643982
2015-02-20,3.0845,3.1695,0.069475,0.00127,0.0012706049655339946,-0.1018941188292174
2015-02-23,3.093,3.1665,0.068525,0.001265,0.0012656002109030506,-0.08851189336418475
2015-02-24,3.0925,3.164,0.069,0.001235,0.0012355720771124457,-0.08624618159465203
2015-02-25,3.0925,3.1527,0.06865,0.00125,0.001250586059579506,-0.07306126799165791
2015-02-26,3.0925,3.1523,0.06625,0.0012950000000000001,0.0012956290201200371,-0.07254897485316869
2015-02-27,3.0925,3.1405,0.06865,0.00127,0.0012706049655339946,-0.058554663029189435
2015-03-02,3.0935,3.1445,0.068575,0.001275,0.0012756097389270415,-0.062119033308213556
2015-03-03,3.0915,3.1515,0.067775,0.00128,0.0012806145310828576,-0.0728210449924711
2015-03-04,3.0935,3.123,0.0674,0.00128,0.0012806145310828576,-0.03601926981348613
2015-03-05,3.0945,3.1175,0.06575,0.0013,0.001300633887323377,-0.02792317220444729
2015-03-06,3.0955,3.1165,0.067825,0.0013,0.001300633887323377,-0.025416174122705915
2015-03-09,3.0965,3.115,0.0675,0.00132,0.0013206535437595424,-0.02225566680682267
2015-03-10,3.0985,3.126,0.069,0.00128,0.0012806145310828576,-0.03349097162966175
2015-03-11,3.0965,3.126,0.067475,0.00128,0.0012806145310828576,-0.035983980884130684
2015-03-12,3.099,3.144,0.0679,0.00126,0.0012605954750335435,-0.054844468519683276
2015-03-13,3.097,3.1427,0.06797500000000001,0.00128,0.0012806145310828576,-0.05570231002956416
2015-03-16,3.0965,3.1425,0.0679,0.00128,0.0012806145310828576,-0.056071715093786945
2015-03-17,3.0985,3.1465,0.0674,0.001275,0.0012756097389270415,-0.05843849406514101
2015-03-18,3.0935,3.1465,0.067475,0.00128,0.0012806145310828576,-0.06449665415217154
2015-03-19,3.0995,3.1365,0.0682,0.0012900000000000001,0.0012906241716790223,-0.045127150783303316
2015-03-20,3.084,3.149,0.07155,0.00128,0.0012806145310828576,-0.0788663602975398
2015-03-23,3.0755,3.1535,0.06785000000000001,0.00128,0.0012806145310828576,-0.09416855616289
2015-03-24,3.0685,3.1715,0.071175,0.0012900000000000001,0.0012906241716790223,-0.12258350007197494
2015-03-25,3.078,3.174,0.071825,0.0012900000000000001,0.0012906241716790223,-0.11446257174390717
2015-03-26,3.0815,3.1765,0.065775,0.0012900000000000001,0.0012906241716790223,-0.11322508539478826
2015-03-27,3.0925,3.169,0.06825,0.0012950000000000001,0.0012956290201200371,-0.09194491078534661
2015-03-30,3.0965,3.1755,0.06795,0.00131,0.0013106436780174757,-0.09467460726856769
2015-03-31,3.0965,3.171,0.0712,0.0013,0.001300633887323377,-0.08953373160709721
2015-04-01,3.0975,3.17,0.068,0.001345,0.0013456785364587276,-0.08716509305300613
2015-04-02,3.09,3.1705,0.065775,0.00134,0.0013406735003940184,-0.0965487049656264
2015-04-03,3.09,3.175,0.06805,0.0013700000000000001,0.001370703998223144,-0.10163281322810291
2015-04-06,3.094,3.1725,0.07105,0.00135,0.001350683591286872,-0.09414035447892022
2015-04-07,3.0995,3.1745,0.068,0.0013700000000000001,0.001370703998223144,-0.08996076082928905
2015-04-08,3.104,3.1775,0.0679,0.00136,0.0013606937572294697,-0.08812532689301333
2015-04-09,3.1165,3.1768,0.06585,0.00136,0.0013606937572294697,-0.07253064494666428
2015-04-10,3.1195,3.1641,0.06805,0.0013900000000000002,0.0013907247053657201,-0.05388762851132134
2015-04-13,3.1233,3.1634,0.06555,0.00134,0.0013406735003940184,-0.048474961591508436
2015-04-14,3.1205,3.178,0.06709999999999999,0.00134,0.0013406735003940184,-0.06918572861939298
2015-04-15,3.1248,3.178,0.06695000000000001,0.00136,0.0013606937572294697,-0.06402581128559193
2015-04-16,3.1245,3.2032,0.06765,0.00136,0.0013606937572294697,-0.09348199797083423
2015-04-17,3.124,3.2005,0.068875,0.00133,0.0013306634845522414,-0.09102845011739957
2015-04-20,3.128,3.201,0.06655,0.00133,0.0013306634845522414,-0.08693478746326688
2015-04-21,3.1315,3.2,0.066275,0.00132,0.0013206535437595424,-0.08170350852267372
2015-04-22,3.1305,3.1985,0.066775,0.00133,0.0013306634845522414,-0.08114511633795907
2015-04-23,3.1335,3.1985,0.06455,0.001325,0.0013256585047742853,-0.07762245673459711
2015-04-24,3.134,3.2087,0.070975,0.001335,0.0013356684830916343,-0.08870455855983206
2015-04-27,3.1345,3.2075,0.06695000000000001,0.001315,0.0013156486015075686,-0.08677574041232461
2015-04-28,3.1245,3.2057,0.067,0.001305,0.0013056387732894859,-0.09635620862204064
2015-04-29,3.1205,3.2,0.06775,0.00134,0.0013406735003940184,-0.09452035576986262
2015-04-30,3.1305,3.198,0.0677,0.00132,0.0013206535437595424,-0.08057952930925127
2015-05-04,3.149,3.2013,0.06684999999999999,0.00132,0.0013206535437595424,-0.06252797211982342
2015-05-05,3.149,3.205,0.06665,0.001325,0.0013256585047742853,-0.06684486119100386
2015-05-06,3.1505,3.205,0.0672,0.00131,0.0013106436780174757,-0.06507960687068226
2015-05-07,3.1505,3.1915,0.0669,0.00131,0.0013106436780174757,-0.0491601532531476
2015-05-08,3.1445,3.1935,0.0667,0.001315,0.0013156486015075686,-0.058739751906066506
2015-05-11,3.152,3.1975,0.0669,0.00132,0.0013206535437595424,-0.054468946215501135
