iter	CrossEntropy
0	0.690476507
1	0.6878391581
2	0.6852671789
3	0.6827646849
4	0.6802917716
5	0.6779483614
6	0.6755962726
7	0.6733677474
8	0.6711458955
9	0.6689420515
10	0.6667778976
11	0.6646836775
12	0.6626269677
13	0.6606674595
14	0.6587487443
15	0.6568084991
16	0.6548931467
17	0.6530378799
18	0.6512185686
19	0.6494250041
20	0.6477003518
21	0.6459903934
22	0.6443636685
23	0.6427003692
24	0.6411487643
25	0.6395710893
26	0.6380553963
27	0.6365725417
28	0.635086189
29	0.6336073993
30	0.6321921919
31	0.6307903169
32	0.6294011011
33	0.6280998597
34	0.626788037
35	0.6255203082
36	0.624267446
37	0.6230710954
38	0.6216942827
39	0.6202459706
40	0.6188327923
41	0.6174753389
42	0.6161211852
43	0.6148259527
44	0.6135381179
45	0.6122538373
46	0.6109881355
47	0.609764489
48	0.6085354763
49	0.6073604473
50	0.6062239797
51	0.6050813952
52	0.6039843602
53	0.6029103299
54	0.6018471618
55	0.6008252575
56	0.5998078007
57	0.5988128878
58	0.5978410908
59	0.5969335536
60	0.595974132
61	0.5950489555
62	0.5941670028
63	0.5932845373
64	0.5923704651
65	0.5914901799
66	0.5906610817
67	0.5898283741
68	0.589016439
69	0.5882131183
70	0.5873989994
71	0.5866200105
72	0.5859044169
73	0.5851590526
74	0.5844186109
75	0.5837183399
76	0.5830050324
77	0.5823158698
78	0.581649153
79	0.5809810301
80	0.5803350605
81	0.579705687
82	0.5790959885
83	0.5784794513
84	0.5778813575
85	0.5772915835
86	0.5767006595
87	0.5761367573
88	0.5755996984
89	0.5750265133
90	0.5744517992
91	0.573910995
92	0.5734001965
93	0.5729162336
94	0.572420734
95	0.5719057683
96	0.5714000103
97	0.5709338209
98	0.5704429155
99	0.5699825034
100	0.5695263985
101	0.569075282
102	0.568636644
103	0.5682055619
104	0.5677786426
105	0.5673555484
106	0.5669255195
107	0.5665221774
108	0.5661039802
109	0.5657258629
110	0.5653542403
111	0.5649830191
112	0.5646120174
113	0.5642332078
114	0.5638590497
115	0.5635005954
116	0.5631670584
117	0.5628392137
118	0.5624650331
119	0.5621044331
120	0.5617821318
121	0.5614444248
122	0.5610925739
123	0.5607649774
124	0.5604429013
125	0.5601201892
126	0.5597932399
127	0.5594861562
128	0.5591717356
129	0.5588680956
130	0.5585756669
131	0.5583135234
132	0.5580067533
133	0.5577301417
134	0.5574575416
135	0.5571739572
136	0.5569209809
137	0.5566532938
138	0.5563957207
139	0.5561372155
140	0.5558744617
141	0.5556114818
142	0.5553797872
143	0.5551370393
144	0.5548853786
145	0.5546479105
146	0.5544072012
147	0.5541707327
148	0.5539324622
149	0.5537061728
150	0.5534728439
151	0.553236293
152	0.5530111947
153	0.5527940881
154	0.5525807068
155	0.552372519
156	0.5521643874
157	0.5519343063
158	0.5517342603
159	0.5515071655
160	0.5513066994
161	0.5510940652
162	0.5508944647
163	0.550685743
164	0.5504777675
165	0.5502913017
166	0.5501036389
167	0.5499144293
168	0.5497294204
169	0.549537658
170	0.5493349665
171	0.5491419035
172	0.5489471871
173	0.5487436859
174	0.5485449847
175	0.5483560034
176	0.5481859545
177	0.5480114532
178	0.5478229499
179	0.5476434961
180	0.5474730935
181	0.5472918098
182	0.5471276472
183	0.5469517548
184	0.5467888332
185	0.5466155847
186	0.5464423189
187	0.5462742876
188	0.5461051079
189	0.545942782
190	0.5457660811
191	0.5456086838
192	0.5454500966
193	0.5452917896
194	0.545140268
195	0.5449888867
196	0.5448329691
197	0.5446873654
